Time,PositionX,PositionZ,DeltaX,DeltaZ
0,0,-0,758,0,0
1,011579,0,00164293,-0,7505624,0,00164293,0,007437646
2,012546,1,563805,2,36338,1,562162,3,113943
3,017376,3,898892,3,398497,2,335087,1,035117
4,02249,3,314787,2,69801,-0,5841045,-0,7004869
5,037372,2,501905,1,794392,-0,8128822,-0,9036183
6,063954,2,592332,0,9714558,0,09042645,-0,8229361
7,078987,2,600267,0,9115676,0,007935524,-0,05988812
8,108758,2,665511,0,9104155,0,06524396,-0,001152158
9,137994,2,684227,0,9095322,0,01871586,-0,0008832812
10,14072,2,684227,0,9095322,0,0
11,15354,2,684227,0,9095322,0,0
12,16836,2,684227,0,9095322,0,0
13,17136,2,684227,0,9095322,0,0
14,18471,2,684227,0,9095322,0,0
15,20658,2,325634,0,8840103,-0,3585927,-0,02552187
16,22277,1,562041,0,7481074,-0,7635937,-0,1359029
17,23454,1,562041,0,7481074,0,0
18,25915,1,978892,1,594259,0,4168515,0,8461518
19,27893,1,633597,0,6830753,-0,3452955,-0,9111838
20,28759,1,633597,0,6830753,0,0
21,30182,1,697129,1,30368,0,06353295,0,6206045
22,30555,2,534384,0,9079564,0,837255,-0,3957234
23,3323,2,534384,0,9079564,0,0
24,34745,2,534384,0,9079564,0,0
25,35356,2,534384,0,9079564,0,0
26,37305,2,055877,1,060871,-0,4785073,0,1529141
27,3818,2,018654,1,092643,-0,03722334,0,03177261
28,38839,1,814788,1,216362,-0,2038661,0,1237187
29,40384,1,814788,1,216362,0,0
30,40671,1,814788,1,216362,0,0
31,40899,1,814788,1,216362,0,0
32,42466,1,814788,1,216362,0,0
33,44971,1,814788,1,216362,0,0
34,46563,1,814788,1,216362,0,0
35,47878,1,814788,1,216362,0,0
36,506,1,814788,1,216362,0,0
37,51702,1,814788,1,216362,0,0
38,53243,2,16415,1,516197,0,3493625,0,299835
39,5551,2,135504,1,551501,-0,02864623,0,03530443
40,55612,2,135504,1,551501,0,0
41,571,2,135504,1,551501,0,0
42,5712,2,135504,1,551501,0,0
43,57133,2,135504,1,551501,0,0
44,59863,2,135504,1,551501,0,0
45,61332,2,135504,1,551501,0,0
46,64067,2,135504,1,551501,0,0
47,668,2,135504,1,551501,0,0
48,66868,2,135504,1,551501,0,0
49,67099,2,135504,1,551501,0,0
50,69743,2,135504,1,551501,0,0
51,71091,2,135504,1,551501,0,0
52,73775,2,135504,1,551501,0,0
53,76444,2,135504,1,551501,0,0
54,77686,2,135504,1,551501,0,0
55,80383,2,135504,1,551501,0,0
56,80431,2,135504,1,551501,0,0
57,81735,2,135504,1,551501,0,0
58,8223,2,135504,1,551501,0,0
59,84319,2,135504,1,551501,0,0
60,86835,1,882877,1,298182,-0,2526273,-0,2533197
61,89438,1,841239,1,328691,-0,04163814,0,03050983
62,91505,1,60793,1,438829,-0,2333084,0,1101375
63,9228,1,727919,1,318881,0,1199888,-0,1199479
64,9377,1,727919,1,318881,0,0
65,95478,1,727919,1,318881,0,0
66,96795,1,727919,1,318881,0,0
67,96897,1,727919,1,318881,0,0
68,98335,1,727919,1,318881,0,0
69,99615,1,727919,1,318881,0,0
71,00923,2,096514,1,302165,0,3685948,-0,01671576
72,03503,2,131302,1,305235,0,03478813,0,003069639
73,0498,2,131302,1,305235,0,0
74,06249,2,131302,1,305235,0,0
75,06757,2,131302,1,305235,0,0
76,07854,2,131302,1,305235,0,0
77,09106,2,131302,1,305235,0,0
78,10512,2,131302,1,305235,0,0
79,11941,2,131302,1,305235,0,0
80,11989,2,131302,1,305235,0,0
81,14516,2,131302,1,30523